============================= test session starts ==============================
platform linux -- Python 3.12.12, pytest-9.1.1, pluggy-1.6.0 -- /home/ventus/src/hibiki/.venv/bin/python
cachedir: .pytest_cache
hypothesis profile 'default'
rootdir: /home/ventus/src/hibiki
configfile: pyproject.toml
plugins: asyncio-1.4.0, hypothesis-6.167.1, anyio-4.15.1
tests/application/test_m0_round6.py::test_delayed_start_after_precheck_cannot_outlive_stop_barrier PASSED [ 65%]
tests/application/test_m0_round6.py::test_missing_process_without_revocation_ack_keeps_workspace PASSED [ 66%]
tests/application/test_m0_round6.py::test_secondary_deliverable_fail_blocks_acceptance PASSED [ 67%]
tests/application/test_m0_round6.py::test_acceptance_requires_explicit_evidence_and_supports_secondary_hash[None-missing_evidence] PASSED [ 68%]
tests/application/test_m0_round6.py::test_acceptance_requires_explicit_evidence_and_supports_secondary_hash[b-None] PASSED [ 69%]
tests/application/test_m0_round6.py::test_runtime_credentials_cannot_write_another_run_or_replay_its_command[submit_result] PASSED [ 70%]
tests/application/test_m0_round6.py::test_runtime_credentials_cannot_write_another_run_or_replay_its_command[heartbeat] PASSED [ 71%]
tests/application/test_m0_round6.py::test_runtime_credentials_cannot_write_another_run_or_replay_its_command[set_writer_alive] PASSED [ 72%]
tests/application/test_m0_round6.py::test_runtime_credentials_cannot_write_another_run_or_replay_its_command[confirm_run_exit] PASSED [ 73%]
tests/application/test_m0_round6.py::test_exit_confirmation_rejects_unbound_or_foreign_identity_before_stop[caller0] PASSED [ 74%]
tests/application/test_m0_round6.py::test_exit_confirmation_rejects_unbound_or_foreign_identity_before_stop[caller1] PASSED [ 75%]
tests/application/test_m0_round6.py::test_exit_confirmation_rejects_unbound_or_foreign_identity_before_stop[caller2] PASSED [ 76%]
tests/application/test_m0_round6.py::test_exit_confirmation_rejects_unbound_or_foreign_identity_before_stop[caller3] PASSED [ 77%]
tests/application/test_m0_round6.py::test_identity_and_epoch_binding_cannot_be_supplied_in_body PASSED [ 78%]
tests/application/test_m0_round6.py::test_decision_idempotency_replays_across_message_ids PASSED [ 79%]
tests/application/test_m0_round6.py::test_legacy_empty_namespace_result_can_be_replayed PASSED [ 80%]
tests/application/test_m0_round6.py::test_duplicate_criterion_evidence_is_rejected_atomically PASSED [ 81%]
tests/application/test_m0_round6.py::test_start_stop_mutex_prevents_double_writer_after_internal_interleave PASSED [ 82%]
tests/application/test_m0_round6.py::test_start_rechecks_revoke_before_register PASSED [ 83%]
tests/application/test_m0_round6.py::test_revoked_start_preserves_stubborn_writer_liveness PASSED [ 84%]
tests/application/test_m0_round6.py::test_bound_user_agent_cannot_confirm_run_exit PASSED [ 85%]
tests/domain/test_transitions.py::test_task_transition_happy_path PASSED [ 86%]
tests/domain/test_transitions.py::test_illegal_task_transition PASSED    [ 87%]
tests/domain/test_transitions.py::test_run_terminal_irreversible PASSED  [ 88%]
tests/domain/test_transitions.py::test_guard_dispatch_requires_contract PASSED [ 89%]
tests/domain/test_transitions.py::test_dag_cycle_rejected PASSED         [ 90%]
tests/persistence/test_sqlite.py::test_engine_pragmas PASSED             [ 91%]
tests/property/test_random_schedule.py::test_100_fixed_seeds PASSED      [ 92%]
tests/property/test_random_schedule.py::test_random_schedule_reports_real_input_counts PASSED [ 93%]
tests/recovery/test_recovery.py::test_migrate_from_empty_dir PASSED      [ 94%]
tests/recovery/test_recovery.py::test_refuse_start_without_schema PASSED [ 95%]
tests/recovery/test_recovery.py::test_startup_refuses_unknown_schema_on_existing_db PASSED [ 96%]
tests/recovery/test_recovery.py::test_startup_refuses_partially_migrated_db PASSED [ 97%]
tests/recovery/test_recovery.py::test_startup_refuses_unknown_alembic_revision PASSED [ 98%]
tests/recovery/test_recovery.py::test_startup_upgrades_known_older_revision PASSED [ 99%]
tests/recovery/test_recovery.py::test_reconcile_after_restart PASSED     [100%]

---------------- generated xml file: /tmp/m0-fix/junit-full.xml ----------------
======================== 102 passed in 92.94s (0:01:32) ========================
